Revisi:,,,,,,,,,,,
Atribut:,,,,,,,,,,,
Alamat,Variabel,Ket. Lojik nol,Ket. Lojik Satu,Arsip,Arsip Aktif,Alarm,Alarm Aktif,Kelompok,Stasiun,,
785,YK-AA-BZ-DO,,,,,,,,YK,18,0
786,YK-THB-PBE-DO,,,,,,,,YK,18,1
787,YK-TPR-BANTU-PBE-DO,,,,,,,,YK,18,2
788,YK-SYSTEM-FE-DO,,,,,,,,YK,18,3
789,YK-WARNING-FE-DO,,,,,,,,YK,18,4
790,YK-COMM-FE-DO,,,,,,,,YK,18,5
791,YK-LOGGER-FE-DO,,,,,,,,YK,18,6
792,YK-SWITCH-FE-DO,,,,,,,,YK,18,7
793,YK-SIGNAL-FE-DO,,,,,,,,YK,18,8
794,YK-DIR-FE-DO,,,,,,,,YK,18,9
795,YK-PB-FE-DO,,,,,,,,YK,18,10
796,YK-SUPPLY-PLN-DO,,,,,,,,YK,18,11
797,YK-SUPPLY-UPS-DO,,,,,,,,YK,18,12
798,YK-SUPPLY-GENSET-DO,,,,,,,,YK,18,13
799,YK-PS-NORM-DO,,,,,,,,YK,18,14
800,YK-PS-FE-DO,,,,,,,,YK,18,15
801,YK-GENSET-START-DO,,,,,,,,YK,19,0
802,YK-GENSET-EMPTY-DO,,,,,,,,YK,19,1
803,YK-UPS-INVERTER-DO,,,,,,,,YK,19,2
804,YK-UPS-LOWBATT-DO,,,,,,,,YK,19,3
805,YK-TERPUSAT-DO,,,,,,,,YK,19,4
806,YK-SETEMPAT-DO,,,,,,,,YK,19,5
807,YK-TPR-COUNT-DO,,Penghitung PPR Bertambah Satu,1,1,,,perintah,YK,19,6
808,YK-TSD-COUNT-DO,,Penghitung PSD Bertambah Satu,1,1,,,perintah,YK,19,7
809,YK-TBMS-COUNT-DO,,Penghitung PPMS Bertambah Satu,1,1,,,perintah,YK,19,8
810,YK-TWT-COUNT-DO,,Penghitung PPW Bertambah Satu,1,1,,,perintah,YK,19,9
811,YK-TBW-COUNT-DO,,Penghitung PWD Bertambah Satu,1,1,,,perintah,YK,19,10
812,YK-J10-PBE-DO,,,,,,,,YK,19,11
813,YK-J10-RGE-DO,,,,,,,,YK,19,12
814,YK-J10-CGE-DO,,,,,,,,YK,19,13
815,YK-J10-EGE-DO,,,,,,,,YK,19,14
816,YK-J20-PBE-DO,,,,,,,,YK,19,15
817,YK-J20-EGE-DO,,,,,,,,YK,20,0
818,YK-J14-PBE-DO,,,,,,,,YK,20,1
